bins,alert,Eureka,CB
121,1.8156685059091128e-17,2.8228363123383726e-17,8.380030274354745e-17
122,1.8370471313285465e-17,2.886590682021212e-17,8.730643766517723e-17
123,1.8235038382529918e-17,2.888013890048335e-17,8.610238904534219e-17
124,1.8295130433136284e-17,2.977474816579645e-17,9.069592139393512e-17
125,1.8533234742842616e-17,2.968519147222501e-17,8.750659250128524e-17
126,1.8729677146982903e-17,3.055255268476568e-17,9.257424243326595e-17
127,1.9117714640136053e-17,3.071172256577382e-17,9.092601520703515e-17
128,1.9283113455483002e-17,3.1486761981405767e-17,9.734663005134259e-17
129,1.935686875956071e-17,3.161759721329039e-17,9.85802764134902e-17
130,1.9498982340359834e-17,3.271752833768418e-17,1.0434855946678256e-16
131,1.9925952590921574e-17,3.302909588401293e-17,1.0146156550552842e-16
132,1.9915820537782376e-17,3.4090260660028794e-17,1.0927068279271979e-16
133,2.0738508042751275e-17,3.375902938064501e-17,1.0971203373254246e-16
134,2.1082667979498497e-17,3.587096152127267e-17,1.155793145069667e-16
135,2.1421417982156465e-17,3.585847810549589e-17,1.162034488081526e-16
136,2.1577529890712965e-17,3.723937073603356e-17,1.2502169966337182e-16
137,2.1949299137480688e-17,3.743651621453473e-17,1.2504928838148743e-16
138,2.2742374780138424e-17,3.9901592581003537e-17,1.383422402821688e-16
139,2.3095351802619042e-17,3.992810634840041e-17,1.4075385006487308e-16
140,2.3860852564096263e-17,4.137149745547103e-17,1.5114610973504527e-16
141,2.4119528029649054e-17,4.274147664901432e-17,1.5357231141627238e-16
142,2.448484096632085e-17,4.4198105339163244e-17,1.6566107341915715e-16
143,2.5165809679249603e-17,4.492620344779056e-17,1.7012451341072435e-16
144,2.625405492720154e-17,4.761549383660788e-17,1.862743446143234e-16
145,2.701393769276653e-17,4.8910224443622646e-17,1.8652040625379008e-16
146,2.829034971194543e-17,5.2207641004515387e-17,2.1029773655360793e-16
147,2.9161643251215953e-17,5.3941632143644785e-17,2.1309882229127166e-16
148,3.093371112113282e-17,5.857518102303852e-17,2.4375958375850995e-16
149,3.182943455327762e-17,6.056104352482328e-17,2.4906745279100476e-16
150,3.3952385070611104e-17,6.520551997755974e-17,2.817662866968357e-16
151,3.5096315761408426e-17,6.714984812595735e-17,2.888343281232803e-16
152,3.854747151971552e-17,7.554919651334148e-17,3.416055694073495e-16
153,4.0297875642924396e-17,7.932933334250588e-17,3.4581961438004406e-16
154,4.468898141410729e-17,8.857585214894909e-17,4.241849181671476e-16
155,4.7491451947738115e-17,9.562181157041909e-17,4.4337996650059564e-16
156,5.471600005098506e-17,1.1085423217149781e-16,5.586527345311648e-16
157,5.993991613324582e-17,1.2306003649813215e-16,5.961548133717743e-16
158,7.354984017595053e-17,1.484796054583744e-16,7.834048086283186e-16
159,8.402945914517088e-17,1.7105411667002469e-16,8.518294791499265e-16
160,1.1046398845117324e-16,2.244878094334428e-16,1.2558181362060105e-15
161,1.4138737088023777e-16,2.7817735148557773e-16,1.4254507966424137e-15
162,2.4940539887991295e-16,4.435380814784771e-16,2.581398680294098e-15
163,5.004496932006689e-16,7.749772922583179e-16,3.484519286702653e-15
164,1.4579258926278664e-15,2.9341116350490446e-15,1.582724950370644e-14
165,3.473109497900782e-15,9.729430060441328e-15,5.73530837116358e-14
166,4.735033138634267e-15,1.0980828022905555e-14,7.713264563985294e-14
167,4.392491549139741e-15,1.1199640076011656e-14,6.399516125639472e-14
168,4.7215480914843735e-15,1.101975335863299e-14,5.2884712910146466e-14
169,4.2648977717688225e-15,1.0813003935371443e-14,4.560359101999298e-14
170,3.846306412716351e-15,1.028216658768115e-14,4.224769285438995e-14
171,3.931951671099551e-15,9.590358095484287e-15,3.830503607772096e-14
172,3.7561113407627235e-15,9.742673221030657e-15,3.5848182679253105e-14
173,3.618527927736923e-15,9.34720181453479e-15,3.226132125625017e-14
174,3.577085471769079e-15,8.816735569031498e-15,3.038327450199212e-14
175,3.4526525767784776e-15,8.727663832204266e-15,2.950831533777253e-14
176,3.4120320447424136e-15,8.355585083950727e-15,2.7644862817304688e-14
177,3.3161974433958302e-15,7.781242330899899e-15,2.6803091383003492e-14
178,3.116502531960025e-15,8.018873344267218e-15,2.5946045994517875e-14
179,3.1590101256787856e-15,7.901962121893181e-15,2.4452136131590875e-14
180,3.229000953037468e-15,7.637307181490064e-15,2.3205979493683137e-14
181,3.3220105013390386e-15,7.340495611891061e-15,2.2711166120171003e-14
182,3.095362919583022e-15,7.1956325514589e-15,2.1028744088320496e-14
183,2.974926107034062e-15,7.246570946115287e-15,2.022457813736986e-14
184,2.8663137588988333e-15,7.0582186791139435e-15,1.9396541146798548e-14
